Vehicle_ID,Vehicle_Type,Brand,Model,Seating_Capacity,Color,Fuel_Type,Mileage_kmpl,NOx_Emissions,CO2_Emissions,Final_Verdict,Price
V0001,Car,Hyundai,i20,4,Silver,CNG,17.9,1.35,110.9,Budget Vehicle,79.81
V0002,Bike,Bajaj,Pulsar,2,Grey,Diesel,18.3,1.41,135.2,Budget Vehicle,95.62
V0003,Auto,Mahindra,Bolero,3,Grey,Electric,27.2,0.0,0.0,Eco-Friendly,9.21958
V0004,Auto,Bajaj,Chetak,3,Blue,Petrol,18.7,0.44,248.9,Commercial Use,103.76
V0005,Bike,Yamaha,MT-15,2,White,CNG,18.8,1.19,185.3,Budget Vehicle,68.87
V0006,Bike,Yamaha,FZ,2,White,CNG,20.2,0.76,60.2,Budget Vehicle,67.95999
V0007,Van,Tata,Nexon,12,Silver,CNG,17.6,1.93,136.1,High Performance,74.87
V0008,Auto,Mahindra,Supro,3,Blue,Petrol,27.9,1.43,175.6,Commercial Use,102.74
V0009,Auto,Piaggio,Porter,3,White,Diesel,23.8,1.18,141.5,Commercial Use,93.06
V0010,Bike,Honda,City,2,White,Electric,23.9,0.0,0.0,Eco-Friendly,2.75434
V0011,Van,Mahindra,Jeeto,7,Black,Petrol,36.6,1.61,193.8,Fuel Efficient,96.12
V0012,Van,Force,Toofan,9,Green,Petrol,47.6,0.32,115.5,Fuel Efficient,106.0
V0013,Bike,Bajaj,Avenger,2,Black,Diesel,12.1,0.37,121.1,Budget Vehicle,87.03
V0014,Bike,Royal Enfield,Himalayan,2,Blue,Electric,10.2,0.0,0.0,Eco-Friendly,2.78367
V0015,Auto,TVS,Jupiter,3,White,Diesel,26.0,0.91,80.1,Commercial Use,99.61
V0016,Bike,TVS,Jupiter,2,Silver,CNG,38.0,1.78,218.5,Fuel Efficient,73.78
V0017,Car,Toyota,Corolla,4,Yellow,CNG,25.9,0.91,130.0,Luxury Vehicle,75.05
V0018,Van,Force,Toofan,12,Yellow,Petrol,34.8,0.59,194.8,Commercial Use,107.12
V0019,Van,Mahindra,Supro,12,Blue,Electric,25.2,0.0,0.0,Eco-Friendly,11.65838
V0020,Auto,Bajaj,Avenger,3,Yellow,CNG,20.5,0.25,105.0,Commercial Use,77.08
V0021,Bike,Bajaj,Avenger,2,Grey,Electric,18.9,0.0,0.0,Eco-Friendly,0.88057
V0022,Bike,Bajaj,Avenger,2,Blue,Petrol,38.8,0.86,178.3,Fuel Efficient,99.19
V0023,Car,Hyundai,i20,7,Red,Electric,25.3,0.0,0.0,Eco-Friendly,28.40874
V0024,Van,Force,Traveller,9,Yellow,Electric,16.3,0.0,0.0,Eco-Friendly,9.10268
V0025,Car,Toyota,Innova,4,White,Electric,48.2,0.0,0.0,Eco-Friendly,17.15401
V0026,Van,Force,Traveller,12,Yellow,Electric,30.1,0.0,0.0,Eco-Friendly,8.54886
V0027,Van,Tata,Harrier,12,Black,Electric,47.8,0.0,0.0,Eco-Friendly,9.37337
V0028,Bike,Suzuki,Gixxer,2,Grey,Petrol,21.3,0.38,82.4,Budget Vehicle,109.67
V0029,Bike,Honda,Jazz,2,Yellow,Electric,32.5,0.0,0.0,Eco-Friendly,1.74118
V0030,Auto,Bajaj,Chetak,3,Yellow,Petrol,23.4,0.39,63.8,Commercial Use,108.37
V0031,Car,Maruti Suzuki,Baleno,5,Grey,Electric,23.9,0.0,0.0,Eco-Friendly,19.78612
V0032,Bike,Yamaha,FZ,2,Blue,Electric,26.7,0.0,0.0,Eco-Friendly,1.44746
V0033,Car,Maruti Suzuki,Ertiga,5,Grey,Electric,19.6,0.0,0.0,Eco-Friendly,17.88685
V0034,Van,Tata,Nexon,12,Black,CNG,26.2,0.75,156.6,Commercial Use,68.52
V0035,Bike,Honda,Amaze,2,White,Electric,39.6,0.0,0.0,Eco-Friendly,1.30786
V0036,Car,Maruti Suzuki,Swift,7,Grey,Diesel,42.2,0.28,138.0,Fuel Efficient,97.9
V0037,Bike,Honda,Amaze,2,Green,Diesel,48.2,0.13,60.5,Fuel Efficient,98.81
V0038,Auto,Mahindra,Jeeto,3,Blue,Diesel,27.6,1.31,176.6,Commercial Use,89.65
V0039,Van,Mahindra,Jeeto,7,Grey,CNG,22.3,1.55,232.0,High Performance,71.45
V0040,Auto,TVS,Jupiter,3,Silver,CNG,17.2,0.32,58.5,Commercial Use,65.31
V0041,Bike,Yamaha,MT-15,2,Green,CNG,35.7,0.2,171.4,Fuel Efficient,78.45
V0042,Car,Toyota,Corolla,7,Red,Petrol,30.8,0.16,230.4,Luxury Vehicle,104.66
V0043,Van,Toyota,Corolla,9,Blue,Diesel,41.4,0.84,100.3,Fuel Efficient,85.34
V0044,Auto,Mahindra,Bolero,3,Green,Petrol,25.1,1.63,242.0,High Performance,98.58
V0045,Van,Mahindra,Supro,12,White,Petrol,31.5,0.72,246.6,Commercial Use,92.82
V0046,Bike,Honda,Jazz,2,Black,CNG,26.2,1.56,127.4,High Performance,62.86
V0047,Bike,Bajaj,Pulsar,2,Green,Diesel,21.4,1.27,147.4,Budget Vehicle,96.09
V0048,Bike,Honda,Jazz,2,White,Electric,37.3,0.0,0.0,Eco-Friendly,2.0807
V0049,Van,Mahindra,Supro,12,Green,CNG,20.5,1.31,102.9,Commercial Use,60.12
V0050,Car,Maruti Suzuki,Ertiga,5,White,CNG,18.6,1.89,239.4,High Performance,71.45999
V0051,Bike,Suzuki,Gixxer,2,Grey,Diesel,13.5,0.36,110.8,Budget Vehicle,86.66
V0052,Car,Toyota,Corolla,4,Black,Petrol,33.8,1.44,82.7,Luxury Vehicle,96.25
V0053,Auto,Piaggio,Ape,3,White,Petrol,27.8,1.82,133.3,High Performance,95.84
V0054,Bike,Honda,Amaze,2,Green,CNG,13.9,1.27,239.7,Luxury Vehicle,63.32
V0055,Van,Mahindra,Bolero,9,Red,CNG,43.8,0.73,238.2,Fuel Efficient,62.25
V0056,Van,Mahindra,Jeeto,7,Black,Diesel,47.5,0.48,80.5,Fuel Efficient,96.04
V0057,Auto,TVS,Apache,3,Blue,Diesel,16.7,1.6,88.0,High Performance,88.51
V0058,Bike,Honda,City,2,Blue,CNG,36.7,1.84,75.3,Fuel Efficient,72.75
V0059,Car,Hyundai,i20,5,Black,CNG,32.1,0.39,118.9,Budget Vehicle,65.52
V0060,Car,Honda,Amaze,7,Yellow,Electric,25.3,0.0,0.0,Eco-Friendly,34.78961
V0061,Van,Tata,Nexon,12,Blue,Diesel,17.8,1.64,123.0,High Performance,85.24
V0062,Auto,Mahindra,Jeeto,3,Blue,Petrol,27.8,0.82,129.9,Commercial Use,105.92
V0063,Car,Honda,City,4,Red,CNG,43.8,1.02,67.2,Fuel Efficient,64.05
V0064,Car,Toyota,Corolla,7,Green,Diesel,22.2,0.37,120.9,Luxury Vehicle,86.64
V0065,Van,Force,Traveller,12,Green,Petrol,21.0,1.13,167.0,Commercial Use,95.99
V0066,Auto,Piaggio,Porter,3,Blue,Electric,20.1,0.0,0.0,Eco-Friendly,11.29365
V0067,Auto,Mahindra,Jeeto,3,White,Diesel,15.5,1.58,248.5,High Performance,91.77
V0068,Auto,Bajaj,Pulsar,3,Silver,Electric,28.0,0.0,0.0,Eco-Friendly,8.6482
V0069,Van,Tata,Altroz,7,Red,Electric,18.5,0.0,0.0,Eco-Friendly,10.62913
V0070,Auto,Piaggio,Ape,3,Green,CNG,24.7,0.6,118.5,Commercial Use,73.09
V0071,Bike,TVS,NTorq,2,White,Petrol,22.0,1.55,192.3,High Performance,101.64
V0072,Bike,Bajaj,Pulsar,2,White,Electric,44.3,0.0,0.0,Eco-Friendly,2.70537
V0073,Car,Tata,Harrier,7,Silver,CNG,37.2,0.21,123.7,Fuel Efficient,70.3
V0074,Car,Ford,Figo,4,Blue,Diesel,30.7,1.11,151.6,Luxury Vehicle,96.51
V0075,Van,Tata,Altroz,9,Grey,Diesel,23.8,0.83,56.4,Commercial Use,96.36
V0076,Bike,Suzuki,Access,2,Blue,Petrol,36.4,1.02,179.0,Fuel Efficient,93.87
V0077,Van,Mahindra,Jeeto,9,Black,Electric,39.1,0.0,0.0,Eco-Friendly,9.94027
V0078,Van,Mahindra,Jeeto,12,White,CNG,36.4,1.44,212.9,Fuel Efficient,70.75
V0079,Van,Mahindra,Bolero,12,Green,Petrol,34.0,0.64,159.0,Commercial Use,91.76
V0080,Van,Force,Toofan,7,Blue,Diesel,14.3,1.15,245.6,Commercial Use,98.86
V0081,Auto,Mahindra,Supro,3,Silver,Electric,27.9,0.0,0.0,Eco-Friendly,11.27069
V0082,Car,Toyota,Fortuner,4,Green,CNG,31.6,0.6,119.4,Luxury Vehicle,69.81
V0083,Car,Maruti Suzuki,Swift,4,Red,CNG,21.4,1.56,125.4,High Performance,74.45999
V0084,Van,Mahindra,Bolero,9,Silver,Diesel,32.8,1.74,218.6,High Performance,92.12
V0085,Van,Tata,Harrier,9,Black,Diesel,38.2,1.14,217.9,Fuel Efficient,98.98
V0086,Bike,Royal Enfield,Classic 350,2,White,Diesel,48.8,0.86,249.7,Fuel Efficient,87.97
V0087,Car,Ford,Figo,7,White,Diesel,18.0,1.03,73.3,Luxury Vehicle,94.86
V0088,Car,Tata,Altroz,4,Silver,Diesel,19.8,1.25,236.7,Budget Vehicle,96.01
V0089,Van,Tata,Altroz,12,Yellow,CNG,15.7,0.89,151.9,Commercial Use,62.11
V0090,Auto,Mahindra,Supro,3,Blue,Diesel,23.2,0.68,142.2,Commercial Use,88.17
V0091,Van,Mahindra,Jeeto,7,White,Diesel,27.6,1.77,219.2,High Performance,86.06
V0092,Bike,Suzuki,Access,2,Red,Diesel,11.7,1.14,123.9,Budget Vehicle,92.35
V0093,Car,Hyundai,i20,4,Green,Electric,27.1,0.0,0.0,Eco-Friendly,37.4598
V0094,Bike,Yamaha,FZ,2,Yellow,Diesel,35.9,1.62,72.4,Fuel Efficient,89.85
V0095,Van,Force,Toofan,12,Silver,Diesel,16.4,0.55,193.6,Commercial Use,85.76
V0096,Van,Mahindra,Bolero,9,White,Electric,30.1,0.0,0.0,Eco-Friendly,9.99041
V0097,Auto,TVS,Jupiter,3,Blue,Diesel,24.3,0.62,239.8,Commercial Use,90.39
V0098,Auto,TVS,Apache,3,Yellow,Petrol,15.4,0.65,147.7,Commercial Use,108.36
V0099,Car,Ford,Ecosport,5,Red,Petrol,20.3,0.26,134.2,Luxury Vehicle,90.6
V0100,Van,Toyota,Fortuner,9,Yellow,Diesel,27.6,0.33,125.2,Commercial Use,96.0
V0101,Auto,Mahindra,Bolero,3,Yellow,Diesel,26.1,0.7,147.3,Commercial Use,88.41
V0102,Car,Tata,Altroz,7,Silver,Electric,33.2,0.0,0.0,Eco-Friendly,37.70087
V0103,Car,Honda,City,7,Green,Electric,44.7,0.0,0.0,Eco-Friendly,36.02383
V0104,Auto,Bajaj,Avenger,3,Green,CNG,27.7,0.99,127.3,Commercial Use,72.79
V0105,Auto,Mahindra,Supro,3,Grey,CNG,18.0,1.78,66.8,High Performance,61.61
V0106,Van,Mahindra,Bolero,9,Silver,CNG,44.8,0.67,131.6,Fuel Efficient,66.37
V0107,Auto,Piaggio,Ape,3,Black,Petrol,26.7,1.43,110.8,Commercial Use,92.51
V0108,Van,Tata,Altroz,12,Black,Electric,17.4,0.0,0.0,Eco-Friendly,10.35796
V0109,Bike,Royal Enfield,Himalayan,2,Blue,Diesel,37.0,1.62,135.4,Fuel Efficient,85.03
V0110,Van,Force,Toofan,7,White,Diesel,35.5,1.36,191.3,Fuel Efficient,89.42
V0111,Car,Hyundai,Creta,7,Grey,Electric,19.1,0.0,0.0,Eco-Friendly,39.28533
V0112,Van,Tata,Harrier,7,Green,Petrol,18.1,1.27,160.0,Commercial Use,91.73
V0113,Auto,TVS,Apache,3,Green,Petrol,25.8,1.59,198.1,High Performance,105.87
V0114,Van,Toyota,Innova,9,Green,Electric,37.5,0.0,0.0,Eco-Friendly,9.84779
V0115,Car,Toyota,Corolla,7,Silver,CNG,43.9,1.63,146.1,Fuel Efficient,64.98999
V0116,Car,Tata,Nexon,4,White,Diesel,27.2,1.97,143.4,High Performance,99.33
V0117,Auto,Bajaj,Chetak,3,Blue,Electric,22.7,0.0,0.0,Eco-Friendly,11.47449
V0118,Bike,Bajaj,Avenger,2,Blue,Electric,44.4,0.0,0.0,Eco-Friendly,1.77289
V0119,Car,Ford,Aspire,4,Yellow,Diesel,30.7,1.18,229.0,Luxury Vehicle,96.6
V0120,Car,Maruti Suzuki,Swift,4,Red,CNG,20.9,0.31,249.6,Budget Vehicle,60.8
V0121,Car,Hyundai,Creta,7,Silver,Petrol,32.2,0.99,248.2,Budget Vehicle,109.29
V0122,Bike,Royal Enfield,Classic 350,2,Yellow,Petrol,22.0,0.36,64.4,Budget Vehicle,108.2
V0123,Auto,Piaggio,Ape,3,Yellow,Electric,18.6,0.0,0.0,Eco-Friendly,11.92752
V0124,Auto,Mahindra,Supro,3,Red,Petrol,17.6,1.49,186.2,Commercial Use,105.03
V0125,Van,Toyota,Fortuner,7,White,CNG,44.2,1.45,203.1,Fuel Efficient,75.94
V0126,Bike,Yamaha,R15,2,Black,Diesel,42.7,1.39,166.5,Fuel Efficient,92.1
V0127,Van,Mahindra,Jeeto,9,Red,Diesel,32.0,0.25,82.5,Commercial Use,87.41
V0128,Car,Tata,Altroz,4,Silver,Electric,38.3,0.0,0.0,Eco-Friendly,20.82972
V0129,Auto,Piaggio,Ape,3,Grey,CNG,21.0,1.99,133.2,High Performance,71.34999
V0130,Bike,TVS,NTorq,2,Green,CNG,43.7,1.04,80.6,Fuel Efficient,74.25
V0131,Auto,Bajaj,Avenger,3,Red,CNG,21.6,1.01,101.5,Commercial Use,77.37
V0132,Van,Force,Toofan,12,Silver,Diesel,48.5,1.16,106.0,Fuel Efficient,95.89
V0133,Car,Ford,Figo,5,Yellow,Diesel,34.0,0.79,168.6,Luxury Vehicle,95.01
V0134,Car,Maruti Suzuki,Ertiga,4,Blue,Electric,14.7,0.0,0.0,Eco-Friendly,38.46408
V0135,Car,Hyundai,i20,7,White,Petrol,19.6,1.97,157.0,High Performance,103.59
V0136,Bike,TVS,NTorq,2,Green,Diesel,19.9,1.61,179.0,High Performance,99.09
V0137,Car,Ford,Ecosport,5,Blue,CNG,18.3,0.82,68.3,Luxury Vehicle,62.33
V0138,Van,Mahindra,Supro,12,Black,Petrol,23.8,1.49,196.8,Commercial Use,99.31
V0139,Car,Toyota,Corolla,7,White,Petrol,24.6,1.91,154.8,High Performance,104.11
V0140,Van,Toyota,Innova,12,Blue,Electric,49.7,0.0,0.0,Eco-Friendly,11.84681
V0141,Bike,Bajaj,Chetak,2,Grey,Diesel,41.0,0.62,112.3,Fuel Efficient,91.74
V0142,Auto,Mahindra,Bolero,3,Grey,Diesel,15.2,0.98,164.0,Commercial Use,93.11
V0143,Car,Maruti Suzuki,Ertiga,4,Red,Diesel,15.6,0.22,111.7,Budget Vehicle,93.1
V0144,Bike,Royal Enfield,Meteor,2,Blue,Electric,40.9,0.0,0.0,Eco-Friendly,1.34545
V0145,Bike,Yamaha,R15,2,Blue,Petrol,44.3,1.36,154.8,Fuel Efficient,102.15
V0146,Auto,TVS,Apache,3,Yellow,Diesel,17.3,1.51,77.0,High Performance,99.45
V0147,Auto,Piaggio,Ape,3,Blue,Petrol,19.1,1.95,243.9,High Performance,90.42
V0148,Bike,Honda,Amaze,2,Black,Petrol,16.8,1.93,198.2,High Performance,100.79
V0149,Auto,Bajaj,Chetak,3,Yellow,CNG,17.6,1.41,146.2,Commercial Use,69.95999
V0150,Auto,TVS,NTorq,3,Silver,CNG,26.7,1.13,119.2,Commercial Use,77.7
V0151,Auto,Piaggio,Ape,3,Yellow,Diesel,16.8,0.37,154.3,Commercial Use,86.96
V0152,Car,Hyundai,Verna,7,Blue,Diesel,38.4,0.55,205.6,Fuel Efficient,89.45
V0153,Auto,Mahindra,Bolero,3,Red,Electric,20.6,0.0,0.0,Eco-Friendly,9.30523
V0154,Car,Ford,Aspire,5,Silver,Petrol,30.0,0.18,132.6,Luxury Vehicle,109.87
V0155,Bike,Honda,City,2,Red,Diesel,47.9,0.21,124.6,Fuel Efficient,94.36
V0156,Auto,TVS,Apache,3,White,Electric,28.3,0.0,0.0,Eco-Friendly,8.02747
V0157,Car,Honda,City,5,White,CNG,12.6,1.33,219.4,Luxury Vehicle,75.67
V0158,Van,Tata,Harrier,9,Black,Petrol,31.6,1.54,69.9,High Performance,105.88
V0159,Car,Ford,Ecosport,4,White,Diesel,47.0,1.52,232.4,Fuel Efficient,90.35
V0160,Bike,Honda,City,2,Black,Diesel,22.6,1.42,182.3,Luxury Vehicle,91.69
V0161,Bike,Bajaj,Avenger,2,Grey,Diesel,31.2,0.16,143.6,Budget Vehicle,91.84
V0162,Auto,Mahindra,Bolero,3,White,CNG,25.9,1.47,248.8,Commercial Use,76.18
V0163,Van,Toyota,Corolla,7,Grey,CNG,12.7,0.17,217.1,Commercial Use,68.28
V0164,Auto,Bajaj,Pulsar,3,Red,Electric,17.4,0.0,0.0,Eco-Friendly,9.23855
V0165,Auto,Mahindra,Supro,3,Blue,Diesel,18.2,1.48,174.9,Commercial Use,90.58
V0166,Bike,Suzuki,Burgman,2,White,CNG,40.2,0.63,59.0,Fuel Efficient,78.18
